__label__1 , 货已 收到 质量 不错 京东 服务
__label__2 , 手机 昨天 耳机 情况
__label__2 , 客服 服务态度 耐性 差远了 这是 京东 自营 东西 失望
__label__1 , 不错 颜色 刚刚
__label__1 , 鼠标垫 太小
__label__1 , 质量 没得说 一如既往
__label__1 , 老人 300 智能机
__label__2 , 差劲
__label__2 , 听筒 圆边 做工 导致 缝隙 申请 售后 换货 手机 性能 不予 换货
__label__2 , 一段时间 评价 电脑 三个 星期 故障 二十多天 返厂 到手 星期 又坏了 电脑 更大 客服 不到 售后服务 差劲 买别 上当
__label__1 , 
__label__1 , 透气性 大小 合适
__label__2 , 分辨率 不行 模糊
__label__1 , 黑色 裸机 金属 质感 屏幕 刘海 不大不小 整体 设计 和谐 摄像 不错 v10 差距 970 gt 技术 日常 流畅 性价比 真的 挺高 手机 主打 游戏 nfc 红外 功能 手小 同志 建议 荣耀 讨厌 刘海 建议 v10 两款 性价比 每款 手机 优缺点 喜欢 偏向 喜欢 刘海 喜欢 希望 适合 手机 后悔 就行
__label__1 , 合身
__label__2 , 做工 真的 笔记本 不严 很大 边缘 割手 换货 审核 时间 只能 凑合
__label__2 , 果断 差评 第一部 屏幕 底部 发黄 色彩 换货 京东 天才 送到 退货 充电 接触不良 提示 冲满 70% 退货 退货
__label__2 , 电脑 外观 风扇 底座 不平 放到 桌子 不想
__label__2 , 通话质量 听不清 说话
__label__1 , 起球
__label__1 , 满意
__label__2 , 为啥 一百多块 白条 平台 收费
__label__1 , 牛仔裤 颜色 很正 偏差 上身 效果 不错 版型 好看 不像 物流 很快 店家 服务态度 不错
__label__2 , 刚买 一个多月 手机 耳机 维修点 充电 腐蚀 三包 之内 要换 主板 2s 小米 真心 失望 小米 东西
__label__2 , 朋友 旁边 一类 手机卡 手机 网络 手机 接受 信号 华为 接收 信号 怎么回事 解释 解释一下
__label__1 , 尺码 标准 穿着 舒服 发货 速度 京东 购物 挺不错 推荐 购买
__label__1 , 480 两双 这双 图片 色差
__label__2 , 一个月 发现 手机 贴膜 手机 出厂 贴膜 太坑 欲哭无泪
__label__1 , 下次 还会
__label__1 , 外观 漂亮
__label__2 , 图片 好看 一点 舒服 走起路来 鞋里 兜风 特别 像是 地摊货 真不知道 哪来 勇气 厂家 回去 好好 改进 差劲 回家 送人 两双 小米 强太多 小票 退货
__label__1 , 买来 真的 感觉 价格 实惠 实体店 便宜 宝贝 版型 料子 厚薄
__label__1 , 本本 真的 不错 心仪已久 终于 真的 不错
__label__1 , 不错 不错
__label__2 , 差评 这台 电脑 华硕 失望 不到 一个月 卡成 样子 360 内存 占用 94% 动都动 请问 华硕 配置 五年 i5 联想 一大截 超级 后悔 退货 肯定 不让 华硕 品牌 失望
__label__1 , 客服 安装 linux 双系统 不信邪 买来 试了试 主机 安装 双系统 区别 安装 ubuntu17.10 版本 wifi
__label__2 , 很卡 垃圾
__label__2 , 星是 京东 抢购 一种 明明 现货 期货 同一天 抢购 当天 发货 事情
__label__1 , 购物 体验 不错 客服 讲解 到位 机器 很棒 流畅
__label__1 , 鞋子 好看 描述 满意
__label__2 , 一星 不想 媳妇 各买 一部 坚果 pro2 一红 一黑 系统 经常出现 bug 卡顿 死机 例外 体验 极不佳 强制 关机 重启 还学 苹果 没学透 设计 low 老罗 一句 手机
__label__1 , 喜欢 系统 习惯
__label__2 , 
__label__1 , 上传 图片 真诚 评价 这双鞋 产品质量 还行 款式 挺不错 预想 物流 挺快 值得 推荐 好评
__label__1 , 质量 特别 特别 喜欢 款式
__label__2 , 体验 一点 不好
__label__2 , 一条 地摊 垃圾 裤子 真心 对不起 五十五 块钱
__label__2 , 一颗 QQ 切换 qq
__label__2 , 值得 购买 人性化 华为 小米 网络共享 手机 不行 不行 京东 让我拿 卖掉 锤子 手机 屏蔽 安卓 网络共享 手机 黑名单
__label__2 , 激活 激活 手机 性能 没什么 靓点 苹果 puls 功能 不值 手里 一台 苹果 puls 钓鱼 水里 摄像头 iPhoneX 感觉 太小 后悔 苹果 puls128G
__label__2 , 降价 只能 标的 杀价
__label__2 , 京东 服务 真的 京东 很快 退货 退多 不好 上次 外观 瑕疵 客服 买个 打游戏 苹果 360 外观 做工 不错 真的 发热 王者 荣耀 特别 开局 对面 开团 660 得卡
__label__2 , 申请 退货 手机 自动 跳转 网络 3g 信号 地方 4G 信号 地方 半个 小时 自动 跳转 4g 网络 只能 手动 选择网络
